Tag,Company,Foundation Date,,Founders,Founders,born,age,foundation age,stock listed age,gender,education background,education,high educated in bachelar degree,backgrouding,Background,highereducation,financial background,computer background
video,Bilibili Inc,2011,2018,Xu Yi,Xu Yi,1989,30,22,29,male,"School of Adult Education, Beijing University of Posts and Telecommunications","School of Adult Education, Beijing University of Posts and Telecommunications",no,computer,computer,no,no,yes
finance,Qudian,2014,2017,Luo Min,Luo Min,1983,36,31,34,male,Jiangxi Normal University,Jiangxi Normal University,no,Physical communication,Physical communication,no,no,yes
retail,Jumei International Holding Limited,2009,2014,Chen Ou,Chen Ou,1983,36,26,31,male,"Nanyang Technological University, Singapore","Nanyang Technological University, Singapore",yes,computer,computer,yes,yes,yes
car,Uxin,2011,2018,Dai Wei,Dai Wei,1982,37,29,36,male,"Cardiff University, UK","Cardiff University, UK",yes,Business management,Business management,no,yes,no
car,Autohome,2008,2013,Li Xiang,Li Xiang,1981,38,27,32,male,High school diploma,High school diploma,no,no,no,no,no,no
job,Wise Talent Information Technology,2006,2018,Dai Kebin,Dai Kebin,1981,38,25,37,male,Zhongshan University,Zhongshan University,yes,financial,financial,no,yes,no
image,Meitu,2008,2016,Wu Xinhong,Wu Xinhong,1981,38,27,35,male,Graduated from high school,Graduated from high school,no,no,no,no,no,no
retail,Mogujie,2011,2018,Chen Qi,Chen Qi,1981,38,30,37,male,Zhejiang University,Zhejiang University,yes,computer,computer,no,no,yes
retail,Pinduoduo,2015,2018,Huang Zheng,Huang Zheng,1980,39,35,38,male,Zhejiang University,Zhejiang University,yes,computer,computer,yes,yes,yes
finance,360 Finance,2006,2018,Xu Jun,Xu Jun,1980,39,26,38,male,Shanghai International Studies University,Shanghai International Studies University,yes,International finance,International finance,no,yes,no
content,Qutoutiao,2016,2018,Eric Tan,Eric Tan,1980,39,36,38,male,Tsinghua University,Tsinghua University,yes,automation,automation,yes,yes,yes
entetainment,Meituan Dianping,2015,2018,Wang Xing,Wang Xing,1979,40,36,39,male,Tsinghua University,Tsinghua University,yes,electronic,electronic,yes,no,yes
entetainment,Maoyan Enter,2015,2019,Wang Xing,Wang Xing,1979,40,36,40,male,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,yes,Business management,Business management,no,yes,no
content,CooTek,2008,2018,Wang Jialiang,Wang Jialiang,1979,40,29,39,male,Shanghai Jiaotong University,Shanghai Jiaotong University,yes,Communication information,Communication information,no,no,yes
live show,Inke,2015,2018,Bian Yousheng,Bian Yousheng,1979,40,36,39,male,Central South University,Central South University,yes,computer,computer,no,no,yes
social,Momo,2011,2014,Tang Yan,Tang Yan,1979,40,32,35,male,Chengdu University of Technology,Chengdu University of Technology,no,building,building,no,no,no
reading,China Literature,2015,2017,Wu Wenhui,Wu Wenhui,1978,41,37,39,male,Beijing University,Beijing University,yes,computer,computer,no,no,yes
retail,Yunji,2015,2019,Xiao Shanglue,Xiao Shanglue,1978,41,37,41,male,Central European Business School,Central European Business School,yes,Graduated from high school,Graduated from high school,yes,yes,no
search,Sogou,2006,2017,Wang Xiaochuan,Wang Xiaochuan,1978,41,28,39,male,Tsinghua University,Tsinghua University,yes,computer,computer,no,yes,yes
game,Cheetah Mobile,2010,2014,Fu Sheng,Fu Sheng,1978,41,32,36,male,Shandong Institute of Business,Shandong Institute of Business,no,Information management,Information management,no,yes,yes
software,Shanghai Hyron Software Co. Ltd.,2005,2007,Pang Shengdong,Pang Shengdong,1977,42,28,30,male,Ningbo University,Ningbo University,no,Business management,Business management,no,yes,no
game,Ourpalm Co,2004,2012,Liu Huicheng,Liu Huicheng,1977,42,27,35,male,Tsinghua University,Tsinghua University,yes,Business management,Business management,no,yes,no
information,58.com,2005,2013,Jinbo Yao,Jinbo Yao,1976,43,29,37,male,Ocean University of China,Ocean University of China,yes,computer,computer,no,no,yes
