type,Company,Company,Stock,Stock Code,Headquarters,Revenue billion CNY (2018),Foundation Date,unit,Issue Date,Issue Value,Max Date,Max Value,Min Date,Min Value,TotalDate,Total Value,issue date,year,max/issue,min/issue,max/min
video,哔哩哔哩,Bilibili Inc,NASDAQ,NASDAQ:BILI,Shanghai,4.13   ,2011,USD,2018-03-09,11,2018-06-15,22.7,2018-08-17,9.09,2019-03-29,5.906,2018,7,2.1 ,0.8 ,2.5 
finance,趣店,Qudian,NYSE,NYSE:QD,Beijing,1.803,2014,USD,2017-10-20,33,2017-10-20,35.45,2018-11-02,4,2017-10-20,10.892,2017,3,1.1 ,0.1 ,8.9 
retail,聚美优品,Jumei International Holding Limited,NYSE,NYSE: JMEI,Beijing,4.229,2009,USD,2014-05-16,24.18,2014-08-29,39.45,2018-08-31,1.44,2014-08-29,4.375,2014,5,1.6 ,0.1 ,27.4 
car,优信,Uxin,NASDAQ,NASDAQ: UXIN,Beijing,3.315,2011,USD,2018-06-29,9.04,2018-06-29,10.49,2019-04-18,1.41,2018-06-29,2.643,2018,7,1.2 ,0.2 ,7.4 
car,汽车之家,Autohome,NYSE,NYSE: ATHM,Beijing,7.23   ,2008,USD,2013-12-13,28.5,2018-06-01,119.5,2016-07-29,19.12,2018-06-15,13.962,2013,5,4.2 ,0.7 ,6.3 
job,猎聘,Wise Talent Information Technology,HKG,HKG: 6100,Beijing,1.225,2006,HKD,2018-06-29,4.145,2018-07-27,4.592,2019-04-04,2.505,2018-07-20,2.089,2018,12,1.1 ,0.6 ,1.8 
image,美图,Meitu,HKG,HKG: 1357,Xiamen,2.792,2008,HKD,2016-12-16,1.091,2017-03-24,2.94,2018-12-28,0.247,2017-03-17,9.705,2016,8,2.7 ,0.2 ,11.9 
retail,蘑菇街,Mogujie,NYSE,NYSE: MOGU,Hangzhou,2.536,2011,USD,2018-12-07,13.48,2018-12-28,25.69,2019-05-24,4.82,2018-12-27,2.573,2018,7,1.9 ,0.4 ,5.3 
retail,拼多多,Pinduoduo,NASDAQ,NASDAQ: PDD,Shanghai,13.12,2015,USD,2018-07-27,24.6,2019-03-08,31.99,2018-11-16,16.53,2019-03-01,33.407,2018,3,1.3 ,0.7 ,1.9 
finance,360金融,360 Finance,NASDAQ,NASDAQ: QFIN,Beijing,4.45,2006,USD,2018-12-14,16.5,2019-04-18,24.45,2019-01-14,9.9,2019-04-18,3.466,2018,12,1.5 ,0.6 ,2.5 
content,趣头条,Qutoutiao,NASDAQ,NASDAQ: QTT,Shanghai,3.02,2016,USD,2018-09-14,15.97,2018-09-14,20.39,2018-12-07,4,2019-03-15,4.524,2018,2,1.3 ,0.3 ,5.1 
entetainment,美团点评,Meituan Dianping,HKG,HKG: 3690,Beijing,65.227   ,2015,HKD,2018-09-21,9.196,2018-09-21,9.439,2019-01-04,5.134,2018-09-21,50.5,2018,3,1.0 ,0.6 ,1.8 
entetainment,猫眼娱乐,Maoyan Enter,HKG,HKG: 1896,Beijing,3.755,2015,HKD,2019-02-08,1.885,2019-03-20,2.337,2019-05-24,1.594,2019-03-20,2.586,2019,4,1.2 ,0.8 ,1.5 
content,触宝,CooTek,NYSE,NYSE: CTK,Shanghai,0.926,2008,USD,2018-09-28,9.44,2019-01-11,13.3,2018-11-23,5.4,2019-01-11,0.831,2018,10,1.4 ,0.6 ,2.5 
live show,映客,Inke,HKG,HKG: 3700,Beijing,3.86,2015,HKD,2018-07-13,0.638,2018-07-13,0.699,2019-02-15,0.219,2018-07-13,1.285,2018,3,1.1 ,0.3 ,3.2 
social,陌陌,Momo,NASDAQ,NASDAQ: MOMO,Beijing,13.408,2011,USD,2014-12-31,12,2018-06-15,54.24,2016-02-29,6.72,2018-08-31,9.466,2014,3,4.5 ,0.6 ,8.1 
reading,阅文集团,China Literature,HKG,HKG: 0772,Shanghai,5.04,2015,HKD,2017-11-10,12.806,2017-11-30,14.031,2019-05-24,4.145,2017-11-10,11.608,2017,2,1.1 ,0.3 ,3.4 
retail,云集,Yunji,NASDAQ,NASDAQ: YJ,Hangzhou,13.015,2015,USD,2019-05-03,14.15,2019-05-03,18.2,2019-05-23,10.14,2019-05-03,3.052,2019,4,1.3 ,0.7 ,1.8 
search,搜狗,Sogou,NYSE,NYSE: SOGO,Beijing,7.74,2006,USD,2017-11-10,13.85,2018-06-22,15.5,2019-05-24,4.33,2018-06-15,5.501,2017,11,1.1 ,0.3 ,3.6 
game,猎豹移动,Cheetah Mobile,NYSE,NYSE: CMCM,Beijing,4.982,2010,USD,2014-05-09,14.26,2015-05-29,36.63,2019-05-24,4.66,2015-05-29,4.534,2014,4,2.6 ,0.3 ,7.9 
software,二三四五,Shanghai Hyron Software Co. Ltd.,SHE,SHE: 002195,Shanghai,3.869   ,1989,CNY,2007-12-14,0.217,2015-03-31,2.671,2008-10-31,0.058,2015-03-31,7.986,2007,18,12.3 ,0.3 ,46.1 
